ชื่ออาหาร,สูตรอาหาร,ประเภทอาหาร
แกงส้มชะอมไข่ อาหารพื้นบ้าน รสจัดจ้าน อดุมณ์ด้วยสมุนไพร,"
เริ่มจากการทำแกงส้มก่อน โดยต้มน้ำเปล่าให้เดือด ใส่พริกแกงส้มลงไป ปรุงรสด้วย น้ำมะขามเปียก น้ำปลา น้ำตาลปี๊บ
ใส่ผักต่างๆลงไป เช่น หัวไชท้าว ผักกระเฉด ลงไปต้ม ใส่เนื้อกุ้งลงไปต้มให้พอสุก ปิดไฟ และ ปรุงรสด้วยน้ำมะนาว
เริ่มทำไข่เจียวชะอม โดยตอกไข่ใส่ชาม ตีให้เข้ากัน แล้วใส่ชะอมลงคนพอเข้ากัน
ตั้งกระทะน้ำมันให้ร้อน ไฟปานกลาง นำไข่ชะอมลงไปทอด ให้สุกทั้งสองด้าน
จากนั้นนำไข่มาหั่นเป็นชั้นขนาดพอดีคำ
เสริฟแกงส้ม และ วางไข่ชะอมด้านบน เพียงเท่านี้แกงส้มแสนอร่อยก็พร้อมรับประทาน
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
ยำชะอมทอดกรอบ อาหารอร่อยๆ พร้อมด้วยน้ำยำรสเด็ด,"
เริ่มจากการนำยอดชะอมไปลวกให้สุกก่อน จากนั้นนำมาพักและซับน้ำให้ใบแห้ง
จากนั้นให้นำกุ้งลงไปลวกให้สุกและพักเอาไว้ก่อน
เตรียมแป้งสำหรับทอด ใส่น้ำเย็นผสมกับแป้ง ไม่ต้องใช้แป้งเหลวมาก ให้เหนียวแบบพอดี จากนั้นนำยอดชะอมลงไปในแป้ง
ตั้งกระทะน้ำมันให้ร้อน นำยอดชะอมชุบแป้งลงไปทอด ทำให้เป็นแผ่นๆให้ดูน่ารับประทาน ทอดให้เหลืองกรอบ จากนั้นพักให้สะเด็ดน้ำมัน
เตรียมน้ำยำ โดย ใส่ น้ำตาลปีบ น้ำมะนาว น้ำปลา และน้ำพริกเผา ผสมให้ส่วนผสมละลายเข้ากัน
ใส่ หอมหัวแดง ขิงซอย พริกขี้หนูสวน ถั่วลิสงคั่วและกุ้งลวก ลงไปคลุกเคล้ากับน้ำยำ
เสริฟยอดชะอมทอดและราดด้วยน้ำยำที่ทำเอาไว้ เพียงเท่านี้ก็เสร็จพร้อมรับประทานได้
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
น้ำพริกปลาร้าสับ อาหารพื้นเมืองจากปลาร้า แสนอร่อย กินไม่อ้วน,"
เริ่มจากการเตรียมปลาร้าก่อน ต้มน้ำให้เดือด นำมปราร้ามาลวกให้พอสุก จากนั้นแกะเนื้อปลาร้า แยกก้างปลาและเนื้อออกจากกัน จากนั้นนำมาพักไว้ก่อน
เตรียมเครื่องแกง โดยการใส่ พริกขี้หนู หอมหัวแดง กระเทียม ขิง กระชาย และ ตะไคร้ ในอัตราส่วนที่เท่ากัน จากนั้นโขรกให้ละเอียดเป็นเนื้อเดียวกัน
ใส่เนื้อปลาร้าลงไปคลุกกับเครื่องแกงที่โขรกไว้
ปรุงรสด้วย น้ำมะขามเปียกและน้ำตาลปี๊บ ด้วยให้เข้ากัน
เสริฟใส่น้ำพริกปลาร้าสับ และโรยหน้าด้วยใบมะกรูดซอย
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
ข้าวผัดปลากระป๋อง อาหารอร่อยๆ เมนูผัด แบบง่ายๆ,"
เริ่มจากตั้งกระทะให้ร้อน ใส่เนยและน้ำมันพืชลงไป และใส่กระเทียมและหอมหัวใหญ่ลงไปผัด ผัดให้กระเทียมเหลืองและหอมใหญ่เริ่มใส
ใส่ข้าวลงไปผัด คลุกเคล้าให้ส่วนผสมเข้ากัน
ปรุงรสด้วย ซอสน้ำมันหอย ซอสปรุงรส เกลือป่น และ น้ำตาลทราย
เติมถั่วลันเตาลงไปผัด ผัดไปเรื่อยๆจนถั่วลันเตาสุก
ใส่เนื้อปลากระป๋องลงไปผัด ใส่น้ำซอสของปลากระป๋องลงไปสัก 1 ช้อนโต้ะ
เสริฟ ข้าวผัดปลากระป๋องใส่จาน จัดหน้าให้สวยงามด้วย แตงกวาและผักชี ทานคู่กับพริกน้ำปลา
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
ยำหูหมู อาหารแบบง่ายๆ แสนอร่อย สำหรับคนชอบรสจัด,"
นำหูหมูมาล้างให้สะอาด จากนั้น เผาหูหมูให้ขนหาย จากนั้นใช้มีดโกนขูดผิวหมู ให้ขนออกให้หมด
ต้มน้ำให้เดือด นำหูหมูลงไปต้มให้สุก จากนั้นนำมาซอยเป็ยชิ้นขนาดพอดีคำ
ปรุงรสน้ำยำ โดย ใส่น้ำตาลทราย น้ำปลา น้ำมะนาว พริกขี้หนูสวน และ กระเทียม ผสมให้ส่วนผสมละลายเข้ากัน
ใส่หูหมูลวกลงไป ใส่ ถั่วลิสง คื่นฉ่าย หอมหัวใหญ่ ลงไปคลุกเคล้าให้เข้ากับน้ำยำ
นำผักกาดหอมจัดจานให้สวยงาม และ เทยำที่ทำไว้ลงไป เพียงเท่านี้ก็สามารถรับประทานได้
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
น้ำพริกอ่องทูน่า อาหารไทยแบบง่ายๆ แสนอร่อย,"
เริ่มจากตั้งกระทะใส่น้ำมันและนำพริกแกงเผ็ดลงไปผัด ใช่ไฟอ่อนๆค่อยๆผัดให้กลิ่นของเครื่องแกงออกมา
ใส่เนื้อทูน่ากระป๋องลงไป ผัดให้ส่วนผสมเข้ากัน
ปรุงรสด้วย น้ำตาลปี๊บ และ น้ำปลา
ใส่ มะเขือเทศ ลงไปผัด ผัดไปเรื่อยๆจนมะเขือเทศละลายเป็นเนื้อซอส
ปิดไฟเสริฟใส่ถ้วยน้ำพริก โรยต้นหอม
เพียงเท่านี้ก็พร้อมเสริฟน้ำพริกอ่องทูน่า สำหรับทานกับผักสด
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
ไก่ผัดกะปิ อาหารแบบง่ายๆ เมนูผัด หอมอร่อยไม่เหมือนใคร,"
เริ่มจากการตั้งกระทะน้ำมันให้ร้อนใส่กระเทียมและพริกขี้หนูสวนลงไปผัดให้หอม กระเทียมออกเหลือง
จากนั้นให้ใส่เนื้อไก่ลงไปผัดให้สุก
ปรุงรสด้วย กะปิ น้ำปลา และ น้ำตาลปี๊บ ผัดให้ส่วนผสมเข้ากันเติมน้ำลงไปนิดหน่อย
ใส่ใบโหระพาและใบมะกรูด ลงไปผัดให้หอม ปิดไฟและเสริฟใส่จานพร้อมรับประทานได้
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
ไก่ต้มน้ำปลา อาหารอร่อย รสชาติกลมกล่อม เมนูไก่,"
เริ่มจากตั้งกระทะใส่น้ำตาลลงไปคั่วด้วยไฟอ่อนๆ คั่วจนน้ำตาลเปลี่ยนสี
จากนั้นเติมน้ำเปล่าลงไป ใส่รากผักชี ตะไคร้ ข่า และ ใบมะกรูด ลงไปต้มด้วยไฟอ่อนๆให้กลิ่นหอมออก
ปรุงรสด้วย น้ำปลา และ ซีอิ้วขาว
เร่งไฟให้เดือดจากนั้นใส่เนื้อไก่ลงไปต้ม ประมาณ 10 นาที จากนั้นปิดไฟลงและแช่ไก่อีก 45 นาทีในกระทะที่ต้มไก่
ระหว่างรอให้ไก่สุก เตรียมน้ำจิ้มสำหรับกินกับไก่ต้มน้ำปลา ประกอบด้วย น้ำตาลทราย น้ำปลา พริกบด กระเทียมบด และ น้ำมะนาว ผสมให้ส่วนผสมทั้งหมดละลายเข้ากัน
นำไก่ออกมาสับให้มีขนาดพอดีคำ โรยหน้าด้วยผักชี ทานคู่กับน้ำจิ้ม
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
ข้าวผัดอเมริกัน อาหารแบบง่ายๆแสนอร่อย ข้าวผัดสไตล์อเมริกัน,"
เริ่มจากตั้งกระทะน้ำมัน ทอดไข่ดาว จากนั้นให้พักไข่ดาวเอาไว้ก่อน
นำไส้กรอกไปนึ่งให้สุก จากนั้นนำมาพักไว้ก่อน
เตรียมไก่ทอด โดยนำไก่มาหมักกับซอสปรุงรสและพริกไทยไว้สักครู่ จากนั้นนำมาคลุกแป้งทอด และ นำไก่ลงไปทอดในน้ำมัน ให้เหลืองสุก จากนั้นให้พักเอาไว้ก่อน
เริ่มทำข้าวผัด โดยตั้งกระทะน้ำมันให้ร้อน จากนั้นใส่ ลูกเกต ถั่วลันเตา แครอทและ หอมหัวใหญ่ ลงไปผัด ให้พอหอม
จากนั้นจึงใส่ข้าวหุงสุกลงไปผัด
ปรุงรสด้วย ซอสมะเขือเทศ ซอสปรุงรส ซอสหอยนางรม และ น้ำตาลทราย ผัดให้ส่วนผสมเข้ากันกับข้าวผัดจนข้าวแห้ง
เสริฟข้าวผัดใส่จาน จัดหน้าจานด้วย ไข่ดาว ไส้กรอก ไก่ทอด และ แฮม เพียงเท่านี้ก็พร้อมรับประทานได้
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
แกงหน่อไม้ใบย่างนาง อาหารอีสานแบบง่ายๆ เมนูหน่อไม้,"
เริ่มจากการล้างปลาดุกให้สะอาด เอาเครื่องในปลาออก โรยเกลือให้ทั่วตัวปลา และ นำไปย่างให้สุก จากนั้นแกะเอาเฉพาะเนื้อปลาดุก นำมาพักไว้ก่อน
นำหน่อไม้สด ให้เลือกส่วนหน่อไม้อ่อน และ นำมาฝานเป็นแผ่นๆไม่หนาและไม่บางเกินไป จากนั้นนำไปต้มให้หน่อไม้สุกก่อน และ นำมาพักไว้ก่อน
เตรียมเครื่องแกง โดยโขรก เนื้อปลาดุกย่าง พริกขี้หนูสวน หอมหัวแดง ตะไคร้ ข้าวเหนียว กะปิ และ เกลือ ให้ส่วนผสมละเอียดเข้ากัน
เริ่มต้มแกง โดยต้มน้ำให้เดือดจากนั้นใส่เครื่องแกงที่เตรียมไว้ลงไปต้ม ใส่ เห็ดฟาง ฟักทอง และ บวบลงไปต้ม ต้มให้สุกก่อน
ปรุงรสด้วย ปลาร้า และ น้ำปลา ซึ่งปรุงรสตามใจชอบ รสของแกงหน่อไม้จะออกเค็ม
ขั้นตอนสุดท้ายใส่หน่อไม้ ยอดชะอม ใบแมงลัก และ ใบย่านางลงไป ต้มอีกสักครู่ก็ปิดไฟ
เสริฟใส่ชามพร้อมรับประทานได้
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
ต้มยำปลาช่อนใบมะขามอ่อน แกงอร่อยๆ เมนูปลา แบบง่ายๆ,"
เริ่มจากต้มน้ำให้เดือดนำเนื้อปลาช่อนลงไปลวกสะดุ้งน้ำให้สุก น้ำลวกปลาให้ทิ้งไปเลยและนำปลาช่อนลวกมาพักเอาไว้ก่อน
จากนั้นเริ่มทำต้มยำโดยต้มน้ำในหม้อต้มให้เดือดจากนั้นผ่อนไฟให้อ่อนลง
ใส่ ข่า ตะไคร้ และใบมะกรูดลงไปต้มให้กลิ่นหอมของน้ำมันหอมระเหยค่อยๆออกมา
จากนั้นใส่ เห็ดฟาง พริกขี้หนูสวน หอมแดงและใบมะขามอ่อนลงไป
ปรุงรสด้วย น้ำปลา และน้ำมะขามเปียก
ใส่ปลาช่อน มะเขือเทศ พริกแห้งและผักชีฝรั่งลงไป
ปิดไฟ และปรุงรสด้วยน้ำมะนาวขั้นตอนสุดท้าย

",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
โจ๊กปลาเก๋า สูตรอาหารแบบง่ายๆ แสนอร่อย เมนูปลา,"
เริ่มจากการนำข้าวหอมมะลิมาแช่น้ำและเกลือ ประมาณ 1 คืนก่อน
เตรียมน้ำน้ำซุปโดย ต้มน้ำให้เดือดใส่เกลือลงไป จากนั้นหรี่ไฟอ่อน นำกระดูกหมูลงไปต้ม ประมาณ 3 ชั่วโมง คอยช้อนฟองออกเป็นระยะๆ
เมื่อได้น้ำซุปพร้อม ให้กรองเอาเฉพาะน้ำซุป ตั้งไฟให้เดือด ใส่ข้าวหอมมะลิลงไปต้ม คอยคลนอยู่เสมอ ระวังไม่ให้ข้าวติดก้นหม้อ ใช้เวลาต้มประมาณ 45 นาที จะได้ข้าวที่เละเป็นโจ๊กอร่อย พร้อมรับประทานได้ จากนั้นให้พักเอาไว้ก่อน
เตรียมเนื้อปลา โดยตั้งหม้อต้มน้ำให้เดือด ใส่ตะไคร้ลงไป จากนั้นนำเนื้อปลาลงไปลวกให้สุก ก็นำออกมาแช่น้ำเย็นเอาไว้ ให้เนื้อปลาคงรูปไม่เละ
เสริฟโจ๊กใส่ชาม โรยหน้าด้วยเนื้อปลาเก๋า ขิง ต้นหอมซอย และคื่นช่าย
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
ผัดผักกวางตุ้งหมูสับ อาหารผัด เมนูหมู กับข้าวจากผักกวางตุ้ง,"
เริ่มต้นโดยการตั้งกระทะน้ำมันให้ร้อน ใส่ กระเทียม และ พริกสด ลงไปผัด เมื่อ ความหอมของกระเทียมออกมาอย่างเต็มที่ ให้ใส่เนื้อหมูสับลงไปผัด
ผัดหมูสับให้สุกก่อน จากนั้น ปรุงรส ด้วย น้ำตาล น้ำปลา ซอสหอยนางรม และ น้ำซุป ผัดจนน้ำซอสได้รสชาติที่ต้องการ
ขั้นตอนสุดท้าย ให้เร่งไฟใ้แรง และ นำผักกวางตุ้ง ลงไปผัด อย่างรวดเร็ว และ นำขึ้นมาเสริฟใส่จานเลย ขั้นตอนนี้สำคัญอย่าผัดนาน เพราะจะทำให้ผักเฉาเหี่ยว
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
แกงคั่วฟักไก่ อาหารไทย เมนูแกงกะทิ แสนอร่อย,"
เริ่มจากการตั้งกระทำ นำหัวกะทิและพริดแกงเผ็ดลงไปคั่วในกระทะ ให้กะทิแตกมัน
จากนั้นจึงใส่ เนื้อไก่ และ ฟักเขียวลงไปผัด
ใส่หากกะทิลงไป และ ปรุงรสด้วย น้ำตาลปี๊บ น้ำปลา และ น้ำมะขามเปียก ปรุงจนได้รสที่พอใจ
ใส่ใบมะกรูด ใบโหระพา และ พริกขี้หนูสวนลงไป ต้มอีกสักพัก ก็ให้ปิดไฟ เสร็ฟพร้อมรับประทานได้
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
ยำไส้กรอก กับเกล้มอร่อยๆในวันสบายๆ น้ำยำอร่อยทำอย่างไร,"
เริ่มจากการเตรียมไส้กรอกก่อน นำไส้กรอกไปนึ่งให้สุกก่อน
เตรียมน้ำยำ โดยการผสมน้ำปลา น้ำตาลทราย พริกขี้หนูสวน น้ำซุป และ น้ำมะนาว ผสมส่วนผสมทั้งหมดให้ละลายเข้ากัน
จากนั้นจึงใส่ไส้กรอก หมูสับ หอมหัวใหญ่ มะเขือเทศ คื่นฉ่ายและต้นหอม ลงไปคลุกเคล้าให้เข้ากับน้ำยำ
เพียงเท่านี้ก็เสร็จสิ้นอาหารอร่อยๆแบบง่ายๆ พร้อมรับประทานได้
",อาหารไทย เมนูอาหาร สูตรอาหารง่ายๆ สำหรับคนรักการทำอาหาร
